table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population by Sex, Age, Race, and Hispanic Origin for the United States: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Race Alone Group: Black or African American,,,,,,,,,,,,
"Sex, Age, and Hispanic Origin","April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
..15 to 19 years,"1,816,259","1,816,537","1,809,975","1,761,356","1,712,942","1,671,111","1,640,055","1,633,998","1,635,739","1,626,316","1,609,074","1,595,563"
..20 to 24 years,"1,604,113","1,604,405","1,623,641","1,707,871","1,787,599","1,844,756","1,866,743","1,845,862","1,797,697","1,748,957","1,705,270","1,672,322"
..25 to 29 years,"1,400,211","1,400,580","1,405,096","1,429,810","1,461,020","1,504,832","1,574,375","1,655,839","1,742,972","1,819,280","1,872,724","1,890,983"
..30 to 34 years,"1,300,313","1,300,646","1,310,435","1,346,483","1,377,955","1,405,883","1,422,569","1,434,826","1,462,427","1,492,960","1,535,037","1,601,917"
..35 to 39 years,"1,271,729","1,271,988","1,268,752","1,244,745","1,243,226","1,255,471","1,285,212","1,328,078","1,365,420","1,396,215","1,423,089","1,438,276"
..40 to 44 years,"1,301,039","1,301,288","1,299,220","1,302,819","1,307,973","1,302,270","1,291,685","1,272,953","1,250,989","1,248,026","1,258,383","1,285,453"
..45 to 49 years,"1,367,345","1,367,648","1,366,436","1,354,994","1,335,032","1,314,137","1,289,159","1,282,901","1,287,794","1,293,192","1,287,467","1,276,791"
..50 to 54 years,"1,290,098","1,290,324","1,295,327","1,313,152","1,320,507","1,327,541","1,332,192","1,327,125","1,317,006","1,297,642","1,277,470","1,253,207"
..55 to 59 years,"1,030,244","1,030,375","1,039,287","1,078,016","1,125,041","1,164,605","1,197,780","1,228,475","1,246,416","1,253,900","1,260,732","1,265,153"
..60 to 64 years,"771,632","771,704","782,599","835,849","861,251","889,098","922,057","957,216","993,144","1,036,555","1,073,178","1,103,863"
..65 to 69 years,"512,310","512,350","516,017","534,335","574,660","612,006","653,463","699,309","745,850","766,787","790,294","819,133"
..70 to 74 years,"359,671","359,698","362,497","373,138","388,429","407,454","425,129","442,362","458,459","493,824","526,169","561,780"
..75 to 79 years,"241,147","241,191","243,219","253,498","262,284","270,746","280,634","291,054","300,370","312,820","328,946","343,743"
..80 to 84 years,"148,567","148,587","149,761","153,131","157,787","163,641","169,728","176,411","184,765","191,467","198,361","206,090"
..85 years and over,"108,451","108,481","109,946","115,047","120,705","125,209","130,714","137,352","142,863","148,598","155,180","161,831"
,,,,,,,,,,,,
..Under 18 years,"5,750,883","5,751,077","5,738,462","5,688,043","5,647,943","5,625,579","5,624,136","5,624,507","5,621,986","5,614,597","5,588,944","5,569,919"
...Under 5 years,"1,548,953","1,548,960","1,548,409","1,546,198","1,533,319","1,521,906","1,522,482","1,526,897","1,527,933","1,524,509","1,513,910","1,499,357"
...5 to 13 years,"2,808,695","2,808,718","2,808,773","2,804,571","2,808,365","2,813,210","2,800,541","2,795,728","2,803,275","2,814,115","2,820,800","2,825,601"
...14 to 17 years,"1,393,235","1,393,399","1,381,280","1,337,274","1,306,259","1,290,463","1,301,113","1,301,882","1,290,778","1,275,973","1,254,234","1,244,961"
..18 to 64 years,"12,084,011","12,086,386","12,139,340","12,358,067","12,548,202","12,710,157","12,850,603","12,986,226","13,119,410","13,243,296","13,357,193","13,450,844"
...18 to 24 years,"2,351,400","2,351,833","2,372,188","2,452,199","2,516,197","2,546,320","2,535,574","2,498,813","2,453,242","2,405,526","2,369,113","2,335,201"
...25 to 44 years,"5,273,292","5,274,502","5,283,503","5,323,857","5,390,174","5,468,456","5,573,841","5,691,696","5,821,808","5,956,481","6,089,233","6,216,629"
...45 to 64 years,"4,459,319","4,460,051","4,483,649","4,582,011","4,641,831","4,695,381","4,741,188","4,795,717","4,844,360","4,881,289","4,898,847","4,899,014"
